lean,1
bathroom,11
slot,339
machines,399
should,181
cleaned,10
regularly,2
along,4
with,271
people,153
thant,1
allowed,11
don't,114
want,33
eating,11
only,119
your,165
host,2
walking,23
around,80
have,512
security,31
ever,19
they,245
wearing,2
coats,2
that,433
there,346
parking,242
where,67
some,160
persons,3
behave,1
like,244
everyone,8
guilty,1
rather,14
than,92
innocent,1
citizens,1
this,157
find,123
offensive,3
need,123
more,483
lighting,21
markings,1
stairs,5
elderly,5
think,67
could,145
servers,41
floor,92
several,18
times,74
light,30
service,175
came,28
give,50
change,29
night,47
market,8
killed,1
casino,316
weekends,5
sides,3
would,344
drink,69
down,77
were,198
quite,37
dirty,20
sticky,2
just,116
drinks,54
prior,3
mine,4
being,49
stains,1
stickiness,1
also,89
keys,2
repeat,2
button,17
does,28
work,46
pressing,1
little,62
then,64
copper,1
garbage,2
cans,2
outside,16
clean,18
bags,1
inside,5
tell,11
been,95
washed,1
time,241
things,8
needed,26
scrub,1
make,55
them,74
shine,1
again,29
always,59
seemed,25
visit,67
bring,20
every,33
week,15
drop,6
about,67
month,10
gone,24
moncton,16
overnight,3
very,296
good,89
experience,39
lunch,18
supper,3
specials,15
much,96
better,120
food,224
court,19
needs,44
cleaner,6
sorry,8
nice,78
paid,13
used,36
wish,23
mashines,2
improve,10
building,13
facade,1
self,6
serve,19
coffee,125
area,101
back,109
separate,3
person,37
doing,8
coat,11
check,26
wait,119
over,74
minutes,40
friday,6
saturday,15
inconvenient,3
necessary,5
friendly,44
welcome,9
when,249
walk,34
through,15
door,32
play,143
games,72
upstairs,6
room,55
hope,12
comments,8
will,67
taken,13
seriously,3
understand,15
staff,183
suits,1
cannot,10
least,39
acknowledge,5
customers,31
heavens,2
halifax,6
known,5
friendliness,2
racecourse,2
thank,16
issue,14
events,5
having,43
park,26
another,31
unless,11
refunded,1
edgewater,8
skunks,1
near,23
entrance,40
disappeared,5
help,49
machine,214
impossible,7
someone,33
never,97
seen,12
server,39
last,38
visits,12
didn't,62
anymore,9
thio,1
metro,1
vancouver,10
requires,2
paarking,1
admission,3
gates,1
costly,3
start,12
exactly,1
what,66
programs,2
offer,15
compensate,2
please,30
specific,4
detail,1
reluctant,2
return,21
other,112
casino's,6
basically,3
same,38
ammenities,1
gate,4
appease,1
younger,5
clientele,3
coming,19
crowd,6
seems,50
catered,1
anyone,21
else,10
almost,21
felt,20
place,38
miss,15
sirens,1
dice,1
shots,1
prefer,8
piped,1
music,43
less,29
loud,61
there's,3
enough,90
sound,11
from,153
happy,14
washrooms,29
seem,49
often,82
number,27
female,3
patrons,24
seemingly,1
take,51
care,13
found,45
attendants,69
hard,73
pressed,5
respond,6
smoking,16
corner,3
unsafe,1
instead,24
stand,12
curb,1
because,59
weren't,5
feeling,5
safe,9
paybacks,2
frequent,8
lengthen,1
versus,3
money,103
nevada,3
playing,83
longer,35
amount,24
cart,22
severs,2
poor,46
slow,52
restaurant,82
bingo,36
treated,6
poorly,7
come,89
comes,8
speed,4
days,17
well,53
sales,1
it's,39
beyond,1
rude,35
prices,30
outrageous,2
quality,38
cold,43
arrives,1
greated,1
help-,1
town,9
gaming,37
hours,38
before,62
offered,17
most,39
look,24
bored,2
whom,1
experienced,6
going,52
desk,19
even,77
speak,6
tickets,24
perhaps,13
hire,2
enjoying,1
their,52
approaches,1
cocktail,12
asking,8
complimentary,8
slots,162
cashier,36
mostly,6
long,133
buffet,64
anniversary,2
horrible,7
waste,4
really,55
feel,53
wasted,3
soda,6
during,29
evening,11
assist,5
waiting,37
friend,19
wanted,23
lounge,26
arrived,13
list,7
hostess,2
took,63
cell,2
phone,10
said,35
text,1
table,62
went,42
blackjack,24
while,62
waited,35
empty,8
tables,48
asked,42
texted,1
assumed,2
show,15
stroked,1
began,2
primarily,1
meal,24
earlier,4
spent,18
still,35
black,5
jack,2
each,22
appetizer,1
expect,7
river,24
rock,49
sure,19
bclc,5
voucher,10
anywhere,5
sent,6
validate,2
shows,4
retailer,1
which,42
defeats,1
purpose,2
bought,8
ticket,35
cash,51
video,7
poker,34
become,4
tight,36
fair,17
players,40
into,36
busy,54
traffic,9
surrounding,1
roads,1
leading,1
afraid,5
road,6
difficultly,3
reserve,31
sign,26
limited,11
trying,11
attendant,75
sometimes,51
forget,4
pushing,4
able,24
hour,37
first,38
started,7
waaaaaaaay,1
nearly,3
disappointing,13
plus,12
without,21
male,6
works,5
invisible,3
common,2
complaint,10
friends,25
problem,47
finding,14
resturant,4
wasn't,26
easy,9
fees,2
others,19
free,64
riduculous,1
dark,15
recipt,1
embareasing,1
improved,9
need's,1
face,4
lift,1
decor,2
teller,1
race,6
betting,4
counter,12
made,29
error,5
request,4
here,19
horses,1
after,62
stupid,8
know,49
lingo,1
remember,5
name,16
reported,1
cleaning,5
women,8
moody,1
question,7
wise,1
pretty,9
jobs,2
attendances,1
believe,8
boss,3
australian,1
accent,1
catch,3
likely,4
avoid,5
future,3
working,19
condescending,2
adequate,7
knowledge,3
supervising,1
insulting,2
humiliated,1
conversation,4
although,2
track,8
prefered,1
spend,12
keno,14
scrren,1
missing,7
exception,2
control,4
disorganized,2
exit,13
dealers,13
chat,1
chinese,9
left,35
overpowering,2
small,48
selection,22
hairy,1
getting,35
main,17
street,4
cause,6
spot,19
line,42
cars,10
response,5
right,23
says,6
mean,6
obviously,6
vision,1
best,14
letters,1
pointed,2
direction,4
politely,2
arrive,5
seized-up,1
flag,2
passing,1
myself,16
turned,7
either,14
side,18
attract,4
attention,15
burger,8
ordered,26
hamburger,2
given,14
retrieve,1
called,12
finally,13
lady,19
order,48
simple,1
deliver,1
sitting,15
call,17
many,86
except,9
guess,10
girls,4
presume,1
price,24
register,5
ahead,5
pocket,1
paper,13
counted,1
nickels,1
entering,6
bldg,1
elevator,5
saying,5
realizing,2
hadn't,3
note,2
parked,9
next,25
missed,5
view,9
royal,10
leave,39
rated,2
cleanliness,6
high,35
kept,5
wiped,1
fountain,3
liked,11
variety,41
menu,36
returned,5
robinson,3
theatre,5
insult,1
carts,7
received,13
served,14
once,35
compared,12
casinos,71
ones,18
united,2
states,6
card,86
tables-,1
ride-,1
texas,8
shootout-,1
caribbean,1
stud-,1
poker-,1
smiley,1
faces,2
cashiers',1
andmiss,1
washroom,32
ofthen,1
management,5
cashiers,29
printed,2
sheets,1
different,26
amounts,8
lower,19
noted,1
difficulty,7
putting,3
code,4
winnings,11
account,4
scarce,3
hopefully,2
paying,19
winners,9
burgers,4
tripleo,1
current,6
send,11
receive,7
cook,3
errors,2
waitress,16
apologetic,3
comped,1
floors,6
chair,11
moves,2
gives,6
something,29
touching,2
unstable,2
throughout,3
suggest,9
rounds,10
would've,1
soft,9
provided,7
thanks,11
drawback,1
size,14
facility,23
lack,9
happened,12
jeopardy,1
wheel,11
fortune,5
victoria,7
nanaimo,14
allow,12
takes,18
forever,10
jackpot,19
wrong,16
terminal,2
experiences,3
heard,14
overworked,1
short,13
staffed,2
awhile,17
payouts,29
slits,1
tighter,4
expensive,24
aren't,4
dissapointing,1
ladies,10
both,17
washooms,1
supervisors,2
uptight,1
concerned,6
penny,26
replaced,8
dollar,15
between,21
misleads,1
feels,4
pull,2
fast,8
favourite,5
peeny,1
removed,12
arcade,2
careful,1
changing,4
denominations,2
live,25
quadra,1
island,5
three,16
year,15
chance,18
thus,3
unable,9
participate,3
contests,7
promotions,13
spaced,1
wheelchair,5
seating,21
negative,2
fairly,4
cramped,3
therefore,3
can't,20
choices,19
suggestion,6
visiting,11
dissapointed,1
thing,26
excellent,8
ways,4
tightest,2
shred,1
frequency,1
awful,6
worker,4
didnt,19
wanna,1
ignore,3
lights,15
turn,10
checking,9
wont,2
heater,1
rain,3
canopy,1
extremely,7
bacon,3
eggs,4
unusual,2
special,16
consideration,1
smokers,7
heat,4
areas,24
covered,5
cage,9
animal,1
strange,2
inconsiderate,1
clients,2
rooms,7
priced,10
hotels,4
close,24
such,15
minimum,8
water,33
granted,2
moved,7
contact,7
securities,1
front,36
smiles,1
greet,4
posted,2
cant,6
singlr,1
nearby,3
worth,4
entertainment,27
tightened,2
lasts,1
five,2
broke,4
depressed,1
thinking,6
joining,1
loosen,9
faster,7
waits,4
simplest,1
rolette,1
played,19
minimal,4
level,13
satisfaction,1
pay-outs,2
adjusted,4
rewards,5
home,12
losing,11
opened,6
outs,8
keep,22
taking,12
nothing,20
impressed,7
reason,15
hoping,3
thins,1
disappointed,26
usually,21
cashing,11
dawson,2
creek,2
charge,11
cafeteria,8
entire,6
speaking,3
player,7
cantonese,1
alienated,1
non-cantonese,1
awkward,4
english,7
love,19
example,6
gold,8
miner,1
progressive,1
considerable,1
trapeze,10
away,31
answers,3
past,23
cent,17
prizes,3
mail,10
robinsons,1
theatre-,1
company,1
disability,5
stall,6
bottle,5
excessive,2
spoke,3
member,13
approached,3
arrangement,2
attendents,5
problems,9
usual,6
shortage,3
until,8
pairs,2
meet,1
center,6
attended,7
showed,5
those,14
hold,4
date,5
bathrooms,9
fixed,4
customer,34
brunch,4
birthday,15
attentive,2
coffie,1
notfriendly,1
places,6
quick,8
snack,9
successfully,1
coupons,19
unfair,2
countless,1
location,14
unfriendly,6
unhelpful,1
encountered,1
ignored,9
standing,6
cashier's,2
guest,54
services,41
isolated,2
overall,10
absolutely,3
terrible,15
let's,1
renos,1
open,28
airy,1
higher,9
ceiling,3
signage,12
dislike,2
talk,12
members,12
serving,8
gets,10
alcohol,20
cheap,5
valet,5
handicapped,9
drivers,2
entrances,4
enter,13
draws,7
isn't,4
reduced,1
early,10
diners,1
sushi,1
chef,9
husband,19
tongs,1
pick,10
piece,3
ginger,1
realize,6
apologized,1
wouldn't,13
guests,17
executive,1
great,35
incident,1
done,20
gogo,1
dances,1
cheapen,1
grumpy,1
spots,21
majority,4
wendy's,2
move,12
vehicle,2
doesn't,18
towed,1
knowlegable,1
helpful,12
hastings,7
hardly,9
messy,6
certain,12
thriftys,1
above,10
since,22
years,25
perfect,1
absentee,1
ownership,1
knowing,1
group,6
real,7
feedback,3
changes,3
soon,4
clearly,8
numbered,1
annoying,16
unattended,1
chairs,14
pushed,2
causing,3
safely,1
navigated,1
